word,definition
SPA,Il centro benessere dell'hotel
SPA,Il centro benessere in albergo
LOGUDORO,Territorio della Sardegna centro-settentrionale
TRIVAGO,Un sito per chi cerca hotel
ENZO,Lo Iacchetti della televisione
PLOT,L'intreccio d'un film
DIESEL,Il motore che va a gasolio
PREMIO,Lo assegna la giuria
ARIOSTO,Scrisse l'Orlando furioso
PH,Indica alcalinità o acidità
SCRUB,Massaggio esfoliante praticato dall'estetista
RTF,Un formato per documenti di computer
LICHENE,È formato da un'alga e da un fungo
ORGANO,Ha le canne sonore
ORGANO,Lo strumento con molte canne
ORGANO,Un complesso d'uffici statali
TOP MANAGEMENT,Un gruppo di alti dirigenti
PERIMETRO,È formato dalla somma dei lati
PREPARATORE,L'atletico nello staff della squadra di calcio
WALLACE,Un Edgar autore di gialli
VENDITA,Un affare del negoziante
ASILO,Ricovero per bambini
POLTRONA,Ha le gambe più corte della sedia
TRAINER,Il preparatore della squadra sportiva
TORMENTARE,"Molestare, opprimere"
ONU,Si riunisce nel Palazzo di Vetro
STUDIO ASSOCIATO,Riunisce più avvocati
FALSI AMICI,"I termini stranieri assonanti con quelli italiani, ma di significato diverso (es.: in inglese carbon è carbonio, non carbone, che si dice coal)"
CEI,L'organo dei vescovi italiani
CEI,Riunisce tutti i vescovi italiani (sigla)
CEI,L'assemblea che riunisce tutti i vescovi italiani
PARLAMENTO EUROPEO,Si riunisce a Strasburgo presieduto da David Sassoli
ANCI,Riunisce i Comuni italiani
VISITA PASTORALE,Un obbligo canonico dei vescovi
BENNA,Organo prensile delle escavatrici
RETRO,La parte posteriore d'una bottega
BICI,Molti la usano per muoversi in città
ITTITI,L'antico popolo che adorava il dio Telepinu
RUE,A Parigi c'è quella de la Paix
LARIO,Il lago con Bellagio e Cernobbio
SCHIACCIATA,Un colpo del pallavolista
STRETCH,Tessuto elastico per vestiti
GAVIALE,Coccodrillo dell'India
RAI,Aveva nel logo una farfalla
LACOSTE,Le polo con il coccodrillo
LACOSTE,La Casa di abbigliamento del... coccodrillo
LACOSTE,Fu un popolare René del tennis
CAIMANO,Rettile sudamericano affine al coccodrillo
ADIDAS,La multinazionale dello sport con il logo delle tre strisce
VERACE,Come il napoletano... di Napoli
GAZZELLA,L'auto dei Carabinieri
BOLENA,Fu la prima Anna di Enrico VIII
TUNISINE,Le Africane di Djerba e di Hammamet
PATATINE,Le novelle sono più tenere
MOU,Il José allenatore... in breve
NEBRODI,I monti siciliani detti anche Caronie
OSIRIDE,Il dio egizio sposo di Iside
INNO AL SOLE,Poema egizio attribuito al faraone Akhenaton
PTAH,L'antico dio egizio protettore degli artisti
TORINO,Ha due storiche squadre di calcio
TORINO,La città in cui molti abitanti leggono La Stampa
TORINO,Un undici granata
RA,Antico dio egizio del Sole
PORTALE,Un sito Internet ricco di sezioni
BOOKSHOP,L'...edicola dentro il museo
PROTO,Il capo della tipografia
TODERO,Un sior goldoniano
SEGO,Grasso animale
SENATORE,__ Cappelli: cultivar di grano duro autunnale
SERAFINI,Gli angeli più vicino a Dio
SERIORI,"Successivi, posteriori"
SELZ,Lo spruzza il barista
SELZ,Si spruzza nell'aperitivo
SELZ,Un'acqua spruzzata al bar
SELTZ,Si usa per diluire le bibite alcoliche
SELTZ,Allunga l'aperitivo
SELTZ,Allunga gli aperitivi
GIOIA,Sprizza dai pori
AGILMENTE,Con scioltezza ed elasticità
GORILLA,Un poderoso scimmione
ISTINTO,Impulso naturale
ISTANBUL,La moderna Costantinopoli
ISERNINI,Sono stretti fra i Teatini e i Casertani
BIDONARE,"Imbrogliare, ingannare"
IRRETIRE,Attrarre con arti subdole
TRADIRE,Ingannare
ADESCARE,"Lusingare, allettare"
ADESCARE,"Allettare, attrarre con lusinghe"
TENTARE,Allettare con lusinghe
ADESCATORE,Attrae con lusinghe
CALAMITARE,Attrarre fortemente l'interesse e l'attenzione
INGHILTERRA,Confina con Scozia e Galles
TERRITORIO DEL NORD,La regione australiana che ha Darwin per capitale
CIRCASSIA,Regione storica del Caucaso settentrionale
PEIPUS,Lago dell'Estonia
AONIA,L'antica regione greca dei Beoti
CARELIA,La regione russa che si estende a est della Finlandia
CARELIA,Regione russa al confine con la Finlandia
CARELIA,Regione che fu contesa tra Finlandia e Russia
ELEI,Abitavano in una regione del Peloponneso
ERIE,Il lago di Buffalo
LA TRAVIATA,L'opera verdiana con Violetta e Alfredo
LINOSA,L'isola a sud di Pantelleria
SCI ESTREMO,Una difficile specialità sportiva invernale
CRAWLISTA,Nuota a stile libero
SLALOMISTA,Scende tra i pali
SLALOMISTI,Fanno le discese zigzagando
SLALOMISTI,Sciatori da speciale o gigante
CALCIATORI,Scendono in campo l'uno dietro l'altro
CATENE,Fissano moto e bici ai pali
OTTAVO,Giunto tra i primi dieci
SCONTENTI,Non soddisfatti
SEGRETARIO GENERALE,Comanda all'ONU
NOTTE SANTA,La si ricorda preparando il presepio
SANO,In salute
RAGNATELA,Trappola per mosche
VACCINI,Sieri immunizzanti
ANTARTIDE,Il continente del Polo Sud
CENTROVASCA,Il giocatore di pallanuoto che imposta l'azione
ALBIONE,L'Inghilterra... ironicamente
ZINGARI,In Inghilterra sono detti gypsies
MARGARET,La sorella di Elisabetta II d'Inghilterra
RARI NANTES,Un nome da società di nuoto e pallanuoto
SNODO,Un punto in cui il traffico autostradale si divide
BOULEVARD,A Parigi: __ des Italiens
PEPTIDE,Composto chimico che deriva dalle proteine
MORITZ,"Saint-__, in Engadina"
PALLA MEDICA,Una sfera che viene impiegata per la riabilitazione
UTICA,Un'antica città africana
BELVA,Non la teme il domatore
BOUQUINISTE,Venditore di libri usati sulle bancarelle... alla francese
CHAPITEAU,Il grosso tendone che sovrasta la pista di un circo
PAGLIACCIO,Fa ridere sotto il tendone
ARPIONE,Un grosso ferro uncinato
TRACCIARE,Disegnare il percorso di una pista o di un campo da golf
SOLEIL,Cirque du __: circo internazionale
COLOMBIA,La patria di García Márquez
NASDAQ,L'indice dei titoli tecnologici alla Borsa di New York
FRANCOFORTE,La sede della Banca centrale europea
LIMPOPO,Lungo fiume sudafricano
TORRE,Negli aeroporti c'è quella di controllo
BERTOLDO,Il villico della letteratura le cui astuzie erano molto popolari
PARASAILING,Lo sport che fa volare trainati da un motoscafo
LODOLAI,Falchi dalle penne nere
ALPINISTI,Sportivi della montagna
CARATTERISTI,Affrontano ruoli poco variati
CAR,La safety sulle piste di F. 1
MERLI,Hanno le piume nere
GIANNI,L'Agnelli noto anche come l'Avvocato
QUARTINE,Strofe di quattro versi
PIASTRE,Elementi degli accumulatori
STORIELLE,Fandonie che si raccontano
OPA,L'acquisto che si lancia in Borsa
CAVI,Vuoti internamente
OREMUS,Viene ripetuto nella Messa in latino
TERMINILLO,La stazione sciistica dei Romani
CADDIE,L'assistente del golfista
SCIATORI,Decidono che pista fare
TRATTORI,Percorrono i campi
SCIALPINISMO,Lo praticano esperti appassionati di montagna
SCIARE,Scendere su candide piste
OLIVE,Sono verdi o nere
TUNNEL,Una galleria senza quadri
PINOLO,Il seme di una pianta conifera
CESTERIA,Vi si fabbricano oggetti di vimini
CATALOGHI,I volumi delle mostre d'arte
SCENE,Piazzate in pubblico
DISFARE,Smontare la valigia
BIRDIE,La buca del golf realizzata con un colpo in meno
ANELLO,Il tracciato d'una pista
SCABROSI,Delicati da affrontare
ALLENATORI,Decidono la formazione
ATLETI,Sportivi in pista
COCKTAIL,Un miscuglio come il Manhattan
PACCHIANERIA,Vistosa mancanza di buon gusto
ROBERT,Il De Niro di The Irishman
AFFUSOLATO,Assottigliato alle estremità
PUBBLICITÀ,La si fa a suon di spot
RIPETITIVITÀ,Fa fare sempre le stesse cose
PUNTO DI COTTURA,Il momento in cui il cuoco deve spegnere il gas
DADOLATA,Piatto di carne tagliata a cubetti e verdure
CURVA,Se è stretta è pericolosa
CURVA,Si affronta con prudenza
CURVA,Obbliga a rallentare
ESORDIRE,Affrontare il pubblico per la prima volta
VIRTÙ,Lo sono la prudenza e la giustizia
FIAMMA PILOTA,Deve restare sempre accesa in certe caldaie
COSTUME,Può essere a due pezzi
COSTUME,Lo si indossa nei veglioni mascherati
COSTUME,Abito... per il mare
COSTUME,Modo consueto di agire
CORDA,Una treccia di canapa
SPAGO,Si usa per legare
SCI,Gli attrezzi per il carving
CAMBIO SEQUENZIALE,Lo montano i bolidi di F. 1
ASPEN,Centro montano in Colorado
SCINTOISMO,Una religione diffusa in Giappone
SCI,Sono lunghi e stretti
SCI,Lo sport con la combinata
SCI,Una disciplina invernale
MANIFESTARE,Scendere in piazza
FAGGIO,Un albero montano
TRENINI,I... convogli per i plastici
RETI,I network italiani
ANGURIA,Il cocomero settentrionale
TRI,Segue il bi
PEDOFOBIA,Avversione patologica per i minori
GAS,Fuga pericolosa
BORDOCAMPISTA,Informa il telecronista sui movimenti nelle panchine
ARCO DI COSTANTINO,Fu eretto a Roma a ricordo della battaglia di Ponte Milvio
COATIT,Storica battaglia della guerra d'Eritrea (1895)
PALESTRO,Una celebre battaglia del 1859
SORTI,Si sfidano tentandole
SORTI,"Venuti fuori, nati"
SORTI,I destini segnati
BATRACOMIOMACHIA,L'omerica battaglia fra rane e topi
SO,La fine del discorso
SORTEGGIO,Avviene con un'estrazione da un'urna
SORTEGGIO,Mette fine alla lotteria
SORTEGGIO,Metodo di scelta... casuale
SORTEGGIATA,Estratta dall'urna
SORRENTO,Vi nacque Torquato Tasso
SORPASSO,La manovra con cui un veicolo ne supera un altro
SHORT TRACK,Il pattinaggio su pista corta
HALF PIPE,La pista a U per le acrobazie con lo skateboard
SAFETY CAR,L'auto che precede i bolidi di Formula Uno in pista
GIRO,Finisce al punto d'inizio
GIRO,Un angolo percorso in bici
GIRO,Rotazione
IRRADIATA,Diffusa all'intorno
CHICANE,Obbliga le auto in pista a rallentare
SESSISMO,La tendenza opposta alla parità di genere
CLAVA,La mazza di Ercole
ATTENTATO,Azione da dinamitardo
FOSSO,Per farlo bisogna scavarlo
STALAGMITI,Stalattiti... capovolte
OUTSIDER,Un vincitore inatteso
OLBIESI,Abitano un porto sardo
SFERA ARMILLARE,Antichissimo strumento astronomico
MONSTRE,Un qualcosa d'eccezionale... detto alla francese
RARA AVIS,"Tipo eccezionale, in latino"
QUASAR,Radiosorgente stellare di enorme energia
QUASAR,Un nucleo galattico particolarmente luminoso
QUASAR,Astri che emettono un'eccezionale luminosità
STELLA DI NEUTRONI,Un enorme corpo celeste di eccezionale densità
CHIARORE,Luminosità diffusa
PLANETARIO,Proiettore che simula il movimento degli astri
TIME OUT,La sospensione del gioco richiesta dall'allenatore di pallacanestro
GIUDICATO D'ARBOREA,Lo Stato sardo retto da una storica Eleonora
GIUSTACUORE,La palandrana del Re Sole
GLOTTIDE,L'organo limitato dalle corde vocali
GIUBBE,Sono Rosse quelle canadesi
GIUBBA,Distingue i fantini
MATTEO DA BASCIO,Fondò i Cappuccini
VIZIO,Cattiva abitudine
JOHNNY,Il nome di Depp
GR,I notiziari radio
FULTON,Costruì il primo Nautilus
CAMUSO,Detto di naso schiacciato
ATLETICA,Comprende varie corse
CARSO,Comprende le grotte di Postumia
FRUTTA SECCA,Comprende noci e pinoli
ESOFAGO,Un tubo che parte dalla faringe
CRUP,Infiammazione della trachea e della laringe tipica dell'infanzia
VIE RESPIRATORIE,"Comprendono faringe, trachea e bronchi"
AGGANCIO,Si sfrutta... per intavolare un discorso
MIRAGE,Un caccia militare francese
PADOVA,Vi nacque Andrea Palladio
PEDAGOGICI,Relativi all'istruzione
SCLAVI,"Tiziano __, il fumettista che ha creato Dylan Dog"
RASPINO,Arnese per cesellatori
ALOSA,La sardina d'acqua dolce
VALLI DI COMACCHIO,Sono rinomate per gli allevamenti delle anguille
BURATTINAI,Gestiscono teatrini
TORRONE,Dolce... in stecche
DORME,Recita il detto: chi __ non piglia pesci
ISTAT,L'Istituto con il paniere
TENACE,"Resistente, costante"
ROVETI,Cespugli pungenti
EMILIANE,Lo sono le Bolognesi e le Ferraresi
SPADRONEGGIARE,Comportarsi da tiranno
ABBEVERATA,Il pastore vi conduce la mandria assetata
STARNA,Altro nome della pernice grigia
TOPINI,Rondini di colore grigio
MORA ROMAGNOLA,Pregiata razza di maiali del Ravennate
STIE,Cassette per trasportare polli e galline
MULATTI,Hanno doppia razza
BONSAI,La tecnica giapponese di coltivare piante nane
CICALECCIO,Un chiacchierio di pettegoli
STRARIPAMENTI,Non avvengono certamente in periodo di magra
SPORTIVA,Una società che gareggia
POLO,"Si gioca a cavallo, con lunghi bastoni"
FACEBOOK,Frequentato social network
ADIPOSO,Il tessuto che ci protegge dal freddo
ANDREA DEL SARTO,Dipinse la famosa Madonna del sacco
BRICOLLA,Il sacco dei contrabbandieri
POTAMOLOGIA,Lo studio dei fiumi
PORTE ENFANT,Un... sacco per neonati
SCALTRI,Non si fanno mettere nel sacco
CICOGNE,Arrivano con i bebè!
COLLIRI,Medicine per gli occhi
RINFOLTIRE,Rendere più fitto un bosco
WILL,"Lo Smith di Io, robot"
BROGLI,Pastette elettorali
TRATTATISTI,Scrittori di ponderosi tomi
BARRITO,Il verso dell'elefante
ERARI,Incamerano le tasse
ITTERI,Uccelli simili agli storni
MONOTREMI,I mammiferi come gli ornitorinchi e le echidne
SOUVENIR,Sono riservati ai turisti
POLLAI,Attirano le faine
POLLAI,Ricoveri per galline e capponi
TRANSENNE,Isolano spazi riservati
CHIOCCE,Le galline che covano
LAVATOI,Luoghi per il bucato
CELTI,Lo erano tanto i Galli quanto i Britanni
TROMBA,Quella delle scale non suona
UNIONE,La benedice il prete all'altare
MINUTO,Lo spacca un perfetto orologio
CHIAVE,Prima entra e poi apre la porta
MIRIAM,La Makeba cantante
FITTIZI,"Artificiosi, immaginari"
PORTALE,Un sito ricco di sezioni da consultare
POLLAI,Sono riservati a galli e galline
POLLAI,Le regge dei galli
POLLAI,Ricoveri di galline
STALLIERI,Lavorano negli allevamenti di cavalli
PIGOLARE,Un verbo da pulcini
ZII,Genitori dei cugini
FARNESINA,Vi ha la sede il Ministero degli Esteri
BRAHMS,"Johannes __, compositore"
RUSCELLO,Ha un breve corso
MACERIE,I resti del crollo
STATICI,L'opposto di dinamici
PONTOISE,Bella cittadina francese che ispirò Camille Pissarro
PONTE DI BROOKLYN,Scavalca l'East River a New York
POLLAI,Regni... di galli
METALLICA,Rete per recinti
GAETA,È sede d'una scuola nautica per la Finanza
VENTOTENE,Una delle isole Pontine
VENTOTTENNI,I giovani nati nel 1978
JUMBO TRAM,Un mezzo pubblico di certe città che... imbarca molti passeggeri
MELTING POT,Mescolanza di gruppi etnici diversi
DEI,Abitavano sul monte Olimpo
CRAIG,"Daniel, l'ultimo James Bond dello schermo"
PASTURA,Una mensa per mandrie
ARTERIOTOMIA,Incisione che si pratica per rimuovere un embolo
ZOOTECNIA,Si occupa degli animali domestici
ZOOTECNIA,Studia le tecnologie di allevamento
ZOOTECNIA,La pratica l'allevatore
BESTIE,Gli animali negli allevamenti
ASCESI,Pratica di vita per conseguire la perfezione spirituale
MANISCALCO,Pianta chiodi negli zoccoli
POLLO ALLE MANDORLE,Piatto da ristorante cinese
TEX,__ Willer: nei fumetti è amico di Kit Carson
RIBALTE,Cassettoni con scrittoio
IDROREPELLENTI,Vernici da pareti esterne
IBRAHIMOVIC,"Zlatan __, l'asso del calcio"
SERENISSIMA,La Repubblica di Venezia guidata dai Dogi
ALBISOLA,Centro turistico del Savonese
ALBRECHT,Il nome di Dürer
AIE,I cortili in cui si trebbia
AIE,Gli spiazzi delle cascine per la trebbiatura
AIE,Cortili da cascine
ALLEVATE,"Fatte crescere come galline, pecore, mucche..."
AIE,I cortili agricoli
CORTILE,Posto per le oche
BALLO,S'esegue scendendo in pista a suon di musica
EOLIE,Altro nome delle Lipari
CORNA,Le hanno tori e bufali
AUDI,"La Casa automobilistica di A1, A2, A3, A4..."
CAVALLERIA,Garbatezza da gentiluomo
VALICO,Un passaggio tra due valli contigue
LUANG PRABANG,Città del Laos sul Mekong
ALAI,Un vasto altipiano dell'Asia
PIGMEI,Lo sono i Negritos asiatici
LAOTIANI,Lo sono i nativi di Luang Prabang
LAOTIANI,Confinano con i Vietnamiti
LAO,Lingua parlata a Vientiane
MALESI,Gli Asiatici della Malacca
BIENNI,Gli spazi di due anni
VERNICIATURA,Lavoro da carrozziere
BRUSCHETTA,"Fetta di pane tostato, condita con aglio, sale e olio"
RICCARDO,Il nome di Scamarcio
INCA,L'antica dinastia peruviana
APP,Un programma per tablet e smartphone
SCORZE,Le bucce dei limoni
MACCHINE,Contribuiscono al progresso
TEMPLARI,I religiosi che custodivano il Santo Sepolcro
TEOCRITO,Poeta idilliaco greco
TELAI,Sono in carbonio in alcune bici
TELAI,Scheletri... meccanici
TELAI,Le macchine per tessere
MOTOZAPPE,Macchine da orticoltori
FILATORE,Lavora in impianti tessili
CALAF,Scioglie gli enigmi di Turandot
CAMARILLA,"Combriccola, consorteria"
CALIDARIO,Parte delle antiche terme
CALATAFIMI,La prima vittoria dei Mille in Sicilia
CALAF,Il principe pucciniano che canta Nessun dorma!...
CALAF,Il principe di cui s'innamora Turandot
LIÙ,Canta nella Turandot
CALAF,Il principe amato da Liù
DIVANO,Il pigro ama starci sdraiato
JE,Io... in francese
QUIZ,Un gioco di quesiti
OPA,Un massiccio acquisto effettuato in Borsa
ADDIZIONE ERCULEA,L'ampliamento di Ferrara effettuato nel Rinascimento
MAILBOMBING,Il sabotaggio effettuato intasando la posta elettronica
EXIT POLL,Sondaggio da elezioni
EXIT POLL,Il sondaggio all'uscita dei seggi elettorali
STORNO,Comporta un accredito pari all'addebito effettuato
REFERENDUM,Il sondaggio politico con si e no
ESC,Il tasto del computer per l'uscita da un programma
SCUOLE,Vengono adibite a sede di seggi elettorali
BARRE,Le linee del codice nei prezzi di molti articoli
FANGO,Nelle pozzanghere
DEGNARSI,"Fare, ma con sussiego"
ROMANI,I Castelli con le località di Ariccia e Frascati
ASTIOSI,Invidiosi e ostili
VIACARD,Si usa al casello
SCLEROTICA,La membrana che avvolge il bulbo oculare
MALACOLOGIA,Lo studio dei molluschi
BIOMECCANICA,Studia le sollecitazioni della struttura ossea
OCEANOGRAFIA,La branca delle scienze che studia gli abissi marini
ASINO,Lo è chi non studia
IDRA,Il mitico mostro dalle sette teste ucciso da Ercole
RADAR,L'apparecchio per il volo cieco
EVOLVERE,Trasformare facendo progredire gradualmente
ONDATE,Possono rovesciare le imbarcazioni
RELIGIONE,La seguono i fedeli
MERCATO AZIONARIO,Vi si negoziano bond e obbligazioni
ENOLOGIA,La scienza del vino
BATTERIOLOGIA,La scienza di Pasteur
ECOETICHETTA,Garantisce un prodotto che rispetta l'ambiente
SMART FACTORY,"Lo è, in inglese, un'azienda che ha saputo automatizzarsi nel rispetto dell'ambiente"
ERGONOMIA,Studia l'ambiente di lavoro per renderlo migliore
TUTELA,La difesa dell'ambiente
SCALA REALE,È la migliore combinazione del poker
ANIMARE,Rendere briosa una festa
POTAMOLOGIA,La scienza che studia i corsi d'acqua
ALANO,Cane di gran taglia
PATRONO,Sant'Ambrogio è quello di Milano
LAT,Latitudine (abbreviazione)
BAR,Spaccio di aperitivi
RIABILITARE,Restituire la stima
SPRINTER,Eccelle negli scatti
L'IDIOTA,Un romanzo di Dostoevskij
DURAS,"Marguerite __, scrittrice e regista francese"
LA MALORA,Noto romanzo di Fenoglio
L'ISOLA MISTERIOSA,Un famoso romanzo di Jules Verne
SERAFINA,L'eroina di un romanzo di Giuseppe Berto
VENTIMILA,Le leghe del Nautilus di Verne
PARAPIGLIA,Trambusto
VIDEOFONINI,Hanno preceduto gli smartphone
FIB,Detta le regole a chi gioca a bocce (sigla)
RE,Firmano con il solo nome
VINITALY,La grande fiera enologica di Verona
ZEPPA,L'inserzione di lettere in enigmistica
ALF,L'alieno di una sit-com TV degli Anni '80
TIM,Il Roth attore del cinema
SPECO,A Subiaco si visita quello di san Benedetto
IDA,La Rubinstein della danza
IDA,Il nome della compianta antropologa Magli
IDA,Uccise Castore
CAIROLI,"Benedetto __, storico Primo Ministro"
VERGARA,Una Sofía attrice
RULLINI,Li hanno soppiantati le foto digitali
NOÈ,Coltivò per primo la vite
ITA,Un suffisso per... popolazioni
GEPPI,La Cucciari della tivù
LEGGERA,L'atletica con i salti e le corse
CONSENSO,L'autorizzazione dei genitori
EL PASO,Città del Texas al confine con il Messico
EASTWOOD,Ha diretto Million Dollar Baby
ALBA,Una Jessica attrice
IDA,Il nome della Di Benedetto
IDA,Nome femminile di tre lettere
RONDINI,Si dice che tornano al tetto per San Benedetto
BÉRÉNICE,La Bejo attrice
CITRINA,Altro nome della vitamina P
ALLORCHÉ,"Nel tempo, nel momento in cui"
CIPRIA,Polvere cosmetica
TRIGLICERIDI,I grassi nel sangue
ELOGI,Frasi lusinghiere
GRECISMO,Parola propria della lingua ellenica
ARAL,Lago asiatico che era ricco di salmoni
TEUCRO,"L'eroe dei Troiani, infallibile arciere"
PORDOI,Un alto passo tra la Marmolada e il Sella
PAESTUM,Si ammirano le sue rovine vicino a Salerno
IDA,Il monte presso Troia
CAORLE,Centro vicino a Venezia
ANTELAO,Il monte che è detto anche Re delle Dolomiti
ASCANIO,Enea lo portò in salvo bambino da Troia in fiamme
RITO,Si svolge solennemente
CATRAMARE,Impermeabilizzare una massicciata stradale
L'OROLOGIO AMERICANO,Opera teatrale di Arthur Miller
IL CACCIATORE DI AQUILONI,Bestseller di Khaled Hosseini e film di Marc Forster
SORDINA,Attutisce il suono d'uno strumento
PERGAMO,Ci ricorda un importante altare greco a Berlino
GNOSEOLOGIA,La parte della filosofia che studia la conoscenza
GIUSNATURALISMO,Una storica dottrina di filosofia del diritto
TEORETICA,La filosofia relativa al problema della conoscenza
IDA,Dai che diventa un nome femminile!
IDA,La Lupino di Hollywood
AGE,La new filosofia di vita che ricerca serenità e benessere
BISTRATTATO,"Tartassato, maltrattato"
DISTRETTO,Quello di Polizia era una fiction TV
SUND,Uno stretto tra la Danimarca e la Svezia
OLYMPIA,Celebre quadro di Manet
SINCERA,"Veritiera, genuina"
MAOISTI,I Cinesi del Libretto Rosso
VARAITA,È il primo importante affluente di destra del Po
ARTICOLO DI SPALLA,Il suo posto nel giornale è in alto a destra
MANDRAKE,Il magico eroe dei fumetti con il fido servo Lothar
MANCINA,Una scrittrice... sinistra
BIMANE,"L'impugnatura con la destra e la sinistra, a tennis"
VOLANTE,È a destra nelle vetture inglesi
GIAVELLOTTI,Gli attrezzi che si lanciano più lontano
MOSSE,Le studiano gli scacchisti
PICCOLO,Un celebre teatro di Milano
CASTIGO,Deve essere proporzionato alla colpa
ATONO,Scarsamente vigoroso
ORALE,Esame a botta e risposta
PALLADIO,Elemento chimico con simbolo Pd
ONE STEP,Vecchio ballo di origine americana
UBERTO,Il ricco vecchio de La serva padrona di Pergolesi
ANTENATO,Vecchio parente ascendente
BISNONNO,I suoi nipoti hanno dei figli
BISNONNO,È padre d'un padre d'un padre
BISNONNO,Ci precede di tre generazioni
FIRENZE,La città con Palazzo Vecchio
SPE,Una sigla dell'ufficiale
AOI,Un ex-impero (sigla)
LI,"Gong __, attrice cinese"
LI,51 romani
LI,Cinquantuno romani
ÉCRU,Il colore del lino grezzo
CRA,Il gracchiare del corvo
TÈ,Un gradevole infuso
CARTOLERIA,Un negozio per studenti
KARTODROMO,Una pista per piccoli bolidi
QUAD,Una moto a quattro ruote per fuoristrada
JEEP,Permette di spostarsi su terreni impervi
JEEP,Il fuoristrada per antonomasia
JEEP,L'auto fuoristrada per antonomasia
ROLL BAR,Struttura di sicurezza per le auto da fuoristrada
MOTORE,Consente all'auto di muoversi
BLAISE,Il nome di Pascal
BOIA,Un esperto di patiboli
PIGNOLETTO,Vino bianco del Bolognese
CAMONICA,La valle dell'Oglio
MACCALUBE,Piccoli vulcani di fango
NIRANO,Le Salse di __: coni di fango salato del Modenese
NONANTOLA,La cittadina del Modenese con l'Abbazia di san Silvestro
BOATO,Cupa detonazione dei vulcani
ASIAGO,Formaggio veneto con piccoli buchi
IPPOPOTAMI,Pachidermi che amano sguazzare nel fango
CVD,Chiude il teorema
TONSURA,Caratterizzava certi religiosi
NILO,Forma sei cateratte
FESTA NAZIONALE,Per i Francesi è il 14 luglio
PROPERZIO,Poeta elegiaco latino
LIQUORE,Bevanda alcoolica
PRESS AGENT,Cura la promozione del divo
POLACCA,Una danza popolare cara a Chopin
INSINNA,Un popolare personaggio della TV
FIRTH,Un Colin popolare attore
FARRELL,"Colin __, in The Lobster"
FARRELL,Un Colin dello schermo
LIED,La canzone popolare tedesca
LO CASCIO,Il Luigi attore de I cento passi
FIRTH,Colin __ ne Il discorso del re
IDEAL,Ottimale... per il mister
CASH,"In contanti, uno sull'altro"
RAGNO,Si arrampica su un filo
SOLITARI,I navigatori come Soldini
SIGARI,Li fumava Churchill
CANCELLIERE DI FERRO,L'appellativo di Bismarck
CIAC,Si grida prima di riprendere
MOTION CAPTURE,Tecnica del cinema che consente di dare animazione ai personaggi virtuali
STUNTMAN,Il rischio è il suo mestiere
STUNTMAN,Agisce da controfigura
STUNTMAN,Il cascatore controfigura del cinema
CONTROFIGURA,Attore che rischia... al posto del divo
QUENTIN,Il Tarantino del cinema
SCOPONE,Comune gioco di carte
POLI,Ne ha due la Terra
ANTITARME,Lo è la naftalina
LA PROVA DEL CUOCO,Un programma condotto a lungo da Antonella Clerici
MEMORI,"Riconoscenti, grati"
ONORE,Il buon nome
CRETINETTI,Un famoso comico del cinema muto
OBLOMOV,Un film di Michalkov e un romanzo di Gonciarov
ENRICO,Il Bertolino comico
NOIRET,Un Philippe del cinema
SONORO,Fu la fine del film muto
STIVALETTI,Li calzano i pugili
CENTRO DI GRAVITÀ,"Se lo si sposta, cambia l'equilibrio di un corpo"
MASS MEDIA,I mezzi d'informazione
COLLANA DI DIAMANTI,Un prezioso gioiello sfavillante
VALLI,Sono chiuse dalle montagne
FCA,Unendosi con PSA ha creato Stellantis
MONOLITO,Il misterioso blocco nero di 2001: Odissea nello spazio
HAL,Il computer del film 2001: Odissea nello spazio
BRACCO,Un cane da caccia
FAINA,Carnivoro che va a caccia di galline
LUPIN,Il ladro-gentiluomo di Leblanc
ULYSSES,Il Grant che guidò i nordisti
FANATICO,Eccessivamente entusiasta
OCCHIO,Polifemo l'aveva in fronte
ARMATURA,Sostiene la volta in costruzione
ARABI,Lo sono Alì e Mohammed
ESAÙ,Il biblico personaggio che barattò la primogenitura
MACIGNO,Rotola a valle franando
RIDER,"Easy __, famoso film Anni '60"
ACHEO,Il mitico personaggio dal quale prese nome l'antica Grecia
TESEO,Uccise il mitico Minotauro
CARY,Il Grant di Intrigo internazionale
TRACI,I sudditi del mitico Tereo
ULYSSES,"__ Grant, 18° Presidente degli Stati Uniti"
PITT,"Brad, divo di Hollywood"
ZARA,Catena di negozi di moda
ENSOR,James __: dipinse Autoritratto con maschere
STARR,"Ringo __, l'ex Beatles"
FINISH,Foto __: riprende l'arrivo
BALSA,Un legno da aeromodellisti
GENDARME,Il poliziotto d'un tempo
POTAGE,Un passato di verdura
DÉJÀ VU,La sensazione di aver già vissuto in passato una situazione
CLASSICISMO,Stile che guarda al passato
FOSSILI,I resti del passato
FAN,Spasima... per un divo
CASTRO,__ Pretorio: è il 18° rione di Roma
DECANA,Quella d'inverno è una gustosa pera
JASON,Il Bourne di una serie di film con Matt Damon
ANDRIA,Località vicina a Barletta
AMMODERNAMENTO,Spazza via il vecchiume
CAPOCOMMESSA,Subappalta alcune parti del lavoro preso
ORERIA,Un lavoro di cesello
TEAM BUILDING,Una serie di attività per formare un gruppo di lavoro
CRITICO,Si dice di momento di seria difficoltà
CRITICO,Valuta le opere degli artisti
CRITICO,Recensisce gli spettacoli
MOSAICO,Paziente lavoro artistico
PAUL,Il Bettany del cinema
